State,Month,Quarter,Unemploy_rate ,,,,
District of Columbia,August,3,8.5,,,,
District of Columbia,September,3,8.7,,,,
District of Columbia,October,4,8.2,,,,
Florida,January,1,2.8,,,,
Florida,February,1,3.1,,,,
Florida,March,1,4.3,,,,
Florida,April,2,12.9,,,,
Florida,May,2,13.7,,,,
Florida,June,2,10.4,,,,
Florida,July,3,11.3,,,,
Florida,August,3,7.4,,,,
Florida,September,3,7.6,,,,
Florida,October,4,6.5,,,,
Georgia,January,1,3.1,,,,
Georgia,February,1,2.7,,,,
Georgia,March,1,4.2,,,,
Georgia,April,2,11.9,,,,
Georgia,May,2,9.4,,,,
Georgia,June,2,7.6,,,,
Georgia,July,3,7.6,,,,
Georgia,August,3,5.6,,,,
Georgia,September,3,6.4,,,,
Georgia,October,4,4.5,,,,
Hawaii,January,1,2.7,,,,
Hawaii,February,1,2.7,,,,
Hawaii,March,1,2.6,,,,
Hawaii,April,2,22.3,,,,
Hawaii,May,2,23.5,,,,
Hawaii,June,2,13.9,,,,
Hawaii,July,3,13.1,,,,
Hawaii,August,3,12.5,,,,
Hawaii,September,3,15.1,,,,
Hawaii,October,4,14.3,,,,
Idaho,January,1,2.8,,,,
Idaho,February,1,3.4,,,,
Idaho,March,1,2.6,,,,
Idaho,April,2,11.5,,,,
Idaho,May,2,9,,,,
Idaho,June,2,5.6,,,,
Idaho,July,3,5,,,,
Idaho,August,3,4.2,,,,
Idaho,September,3,6.1,,,,
Idaho,October,4,5.5,,,,
Illinois,January,1,3.5,,,,
Illinois,February,1,3.1,,,,
Illinois,March,1,4.6,,,,
Illinois,April,2,16.4,,,,
Illinois,May,2,15.3,,,,
Illinois,June,2,14.6,,,,
Illinois,July,3,11.3,,,,
Illinois,August,3,11,,,,
Illinois,September,3,10.2,,,,
Illinois,October,4,6.8,,,,
Indiana,January,1,3.1,,,,
Indiana,February,1,2.8,,,,
Indiana,March,1,3.2,,,,
Indiana,April,2,16.9,,,,
Indiana,May,2,12.3,,,,
Indiana,June,2,11.2,,,,
 Indiana,July,3,7.8,,,,
Indiana,August,3,6.4,,,,
Indiana,September,3,6.2,,,,
Indiana,October,4,5,,,,
Iowa,January,1,2.8,,,,
Iowa,February,1,3.1,,,,
Iowa,March,1,3.7,,,,
Iowa,April,2,10.2,,,,
Iowa,May,2,10.2,,,,
Iowa,June,2,8,,,,
Iowa,July,3,6.6,,,,
Iowa,August,3,6,,,,
Iowa,September,3,4.7,,,,
Iowa,October,4,3.6,,,,
Kansas,January,1,3.1,,,,
Kansas,February,1,4.2,,,,
Kansas,March,1,3.1,,,,
Kansas,April,2,11.2,,,,
Kansas,May,2,10,,,,
Kansas,June,2,7.5,,,,
Kansas,July,3,7.2,,,,
Kansas,August,3,6.9,,,,
Kansas,September,3,5.9,,,,
Kansas,October,4,5.3,,,,
Kentucky,January,1,4.3,,,,
Kentucky,February,1,5.2,,,,
Kentucky,March,1,5.8,,,,
Kentucky,April,2,15.4,,,,
Kentucky,May,2,10.9,,,,
Kentucky,June,2,4.3,,,,
Kentucky,July,3,5.7,,,,
Kentucky,August,3,7.6,,,,
Kentucky,September,3,5.6,,,,
Kentucky,October,4,7.4,,,,
Louisiana,January,1,5.1,,,,
Louisiana,February,1,3.2,,,,
Louisiana,March,1,6.1,,,,
Louisiana,April,2,14.5,,,,
Louisiana,May,2,14.2,,,,
Louisiana,June,2,9.7,,,,
Louisiana,July,3,9.4,,,,
Louisiana,August,3,7.6,,,,
Louisiana,September,3,8.1,,,,
Louisiana,October,4,9.4,,,,
Maine,January,1,3.1,,,,
Maine,February,1,3.3,,,,
Maine,March,1,3.2,,,,
Maine,April,2,10.6,,,,
Maine,May,2,9.4,,,,
Maine,June,2,6.6,,,,
Maine,July,3,9.9,,,,
Maine,August,3,6.9,,,,
Maine,September,3,6.1,,,,
Maine,October,4,5.4,,,,
Maryland,January,1,3.3,,,,
Maryland,February,1,2.8,,,,
Maryland,March,1,3.3,,,,
Maryland,April,2,9.9,,,,
Maryland,May,2,10,,,,
Maryland,June,2,8,,,,
Maryland,July,3,7.6,,,,
Maryland,August,3,6,,,,
Maryland,September,3,7.2,,,,
Maryland,October,4,7.8,,,,
Massachusetts,January,1,2.8,,,,
Massachusetts,February,1,3.6,,,,
Massachusetts,March,1,2.9,,,,
Massachusetts,April,2,15.1,,,,
Massachusetts,May,2,16.6,,,,
Massachusetts,June,2,17.4,,,,
Massachusetts,July,3,16.1,,,,
Massachusetts,August,3,11.3,,,,
Massachusetts,September,3,9.6,,,,
Massachusetts,October,4,7.4,,,,
Michigan,January,1,3.8,,,,
Michigan,February,1,3.1,,,,
Michigan,March,1,4.1,,,,
Michigan,April,2,22.7,,,,
Michigan,May,2,21.3,,,,
Michigan,June,2,14.8,,,,
Michigan,July,3,8.7,,,,
Michigan,August,3,8.7,,,,
Michigan,September,3,8.5,,,,
Michigan,October,4,5.5,,,,
Minnesota,January,1,3.2,,,,
Minnesota,February,1,5.4,,,,
Minnesota,March,1,3.1,,,,
Minnesota,April,2,8.1,,,,
Minnesota,May,2,9.9,,,,
Minnesota,June,2,8.6,,,,
Minnesota,July,3,7.7,,,,
Minnesota,August,3,7.4,,,,
Minnesota,September,3,6,,,,
Minnesota,October,4,4.6,,,,
Mississippi,January,1,5.5,,,,
Mississippi,February,1,3.5,,,,
Mississippi,March,1,5.3,,,,
Mississippi,April,2,15.4,,,,
Mississippi,May,2,10.5,,,,
Mississippi,June,2,8.7,,,,
Mississippi,July,3,10.8,,,,
Mississippi,August,3,7.9,,,,
Mississippi,September,3,7.1,,,,
Mississippi,October,4,7.4,,,,
Missouri,January,1,3.5,,,,
Missouri,February,1,3.5,,,,
Missouri,March,1,4.5,,,,
Missouri,April,2,9.7,,,,
Missouri,May,2,10.1,,,,
Missouri,June,2,7.9,,,,
Missouri,July,3,6.9,,,,
Missouri,August,3,7,,,,
Missouri,September,3,4.9,,,,
Missouri,October,4,4.6,,,,
Montana,January,1,3.5,,,,
Montana,February,1,2.9,,,,
Montana,March,1,3.5,,,,
Montana,April,2,11.3,,,,
Montana,May,2,9,,,,
Montana,June,2,7.1,,,,
Montana,July,3,6.4,,,,
Montana,August,3,5.6,,,,
Montana,September,3,5.3,,,,
Montana,October,4,4.9,,,,
Nebraska,January,1,3.9,,,,
Nebraska,February,1,3.6,,,,
Nebraska,March,1,4.2,,,,
Nebraska,April,2,8.2,,,,
Nebraska,May,2,5.3,,,,
Nebraska,June,2,6.7,,,,
Nebraska,July,3,4.8,,,,
Nebraska,August,3,4,,,,
Nebraska,September,3,3.5,,,,
Nebraska,October,4,3,,,,
Nevada,January,1,3.6,,,,
Nevada,February,1,3.6,,,,
Nevada,March,1,6.3,,,,
Nevada,April,2,28.3,,,,
Nevada,May,2,25.3,,,,
Nevada,June,2,15,,,,
Nevada,July,3,14,,,,
Nevada,August,3,13.2,,,,
Nevada,September,3,12.6,,,,
Nevada,October,4,12,,,,
New Hampshire,January,1,2.6,,,,
New Hampshire,February,1,3.8,,,,
New Hampshire,March,1,2.6,,,,
New Hampshire,April,2,16.3,,,,
New Hampshire,May,2,15.4,,,,
New Hampshire,June,2,11.8,,,,
New Hampshire,July,3,8.1,,,,
New Hampshire,August,3,6.5,,,,
New Hampshire,September,3,6,,,,
New Hampshire,October,4,4.2,,,,
New Jersey,January,1,3.8,,,,
New Jersey,February,1,4.8,,,,
New Jersey,March,1,3.8,,,,
New Jersey,April,2,15.3,,,,
New Jersey,May,2,15.4,,,,
New Jersey,June,2,16.6,,,,
New Jersey,July,3,13.9,,,,
New Jersey,August,3,10.9,,,,
New Jersey,September,3,6.7,,,,
New Jersey,October,4,8.2,,,,
New Mexico,January,1,4.8,,,,
New Mexico,February,1,3.7,,,,
New Mexico,March,1,5.9,,,,
New Mexico,April,2,11.3,,,,
New Mexico,May,2,9.1,,,,
New Mexico,June,2,8.3,,,,
New Mexico,July,3,12.7,,,,
New Mexico,August,3,11.3,,,,
New Mexico,September,3,9.4,,,,
New Mexico,October,4,8.1,,,,
New York,January,1,3.8,,,,
New York,February,1,3.6,,,,
New York,March,1,4.5,,,,
New York,April,2,14.5,,,,
New York,May,2,14.5,,,,
New York,June,2,15.7,,,,
New York,July,3,15.9,,,,
New York,August,3,12.5,,,,
New York,September,3,9.7,,,,
New York,October,4,9.6,,,,
North Carolina,January,1,3.6,,,,
North Carolina,February,1,2.2,,,,
North Carolina,March,1,4.4,,,,
North Carolina,April,2,12.2,,,,
North Carolina,May,2,12.8,,,,
North Carolina,June,2,7.6,,,,
North Carolina,July,3,8.5,,,,
North Carolina,August,3,6.5,,,,
North Carolina,September,3,7.3,,,,
North Carolina,October,4,6.3,,,,
North Dakota,January,1,2.3,,,,
North Dakota,February,1,4.2,,,,
North Dakota,March,1,2.2,,,,
North Dakota,April,2,8.5,,,,
North Dakota,May,2,9.1,,,,
North Dakota,June,2,6.1,,,,
North Dakota,July,3,6.6,,,,
North Dakota,August,3,5,,,,
North Dakota,September,3,4.4,,,,
North Dakota,October,4,4.8,,,,
Ohio ,January,1,4.1,,,,
Ohio ,February,1,3.2,,,,
Ohio ,March,1,5.5,,,,
Ohio ,April,2,16.8,,,,
Ohio ,May,2,13.9,,,,
Ohio ,June,2,10.9,,,,
Ohio ,July,3,8.9,,,,
Ohio ,August,3,8.9,,,,
Ohio ,September,3,8.4,,,,
Ohio ,October,4,5.6,,,,
Oklahoma,January,1,3.3,,,,
Oklahoma,February,1,3.3,,,,
Oklahoma,March,1,3.1,,,,
Oklahoma,April,2,13.7,,,,
Oklahoma,May,2,12.6,,,,
Oklahoma,June,2,6.6,,,,
Oklahoma,July,3,7.1,,,,
Oklahoma,August,3,5.7,,,,
Oklahoma,September,3,5.3,,,,
Oklahoma,October,4,6.1,,,,
Oregon,January,1,3.3,,,,
Oregon,February,1,4.7,,,,
Oregon,March,1,3.3,,,,
Oregon,April,2,14.2,,,,
Oregon,May,2,14.3,,,,
Oregon,June,2,11.2,,,,
Oregon,July,3,10.4,,,,
Oregon,August,3,7.7,,,,
Oregon,September,3,8,,,,
Oregon,October,4,6.9,,,,
Pennsylvania,January,1,4.7,,,,
Pennsylvania,February,1,3.4,,,,
Pennsylvania,March,1,6,,,,
Pennsylvania,April,2,15.1,,,,
Pennsylvania,May,2,13.4,,,,
Pennsylvania,June,2,13,,,,
Pennsylvania,July,3,13.7,,,,
Pennsylvania,August,3,10.3,,,,
Pennsylvania,September,3,8.1,,,,
Pennsylvania,October,4,7.3,,,,
Rhode Island,January,1,3.1,,,,
Rhode Island,February,1,2.5,,,,
Rhode Island,March,1,4.6,,,,
Rhode Island,April,2,17,,,,
Rhode Island,May,2,16.4,,,,
Rhode Island,June,2,12.4,,,,
Rhode Island,July,3,11.2,,,,
Rhode Island,August,3,12.8,,,,
Rhode Island,September,3,10.5,,,,
Rhode Island,October,4,7,,,,
South Carolina,January,1,2.4,,,,
South Carolina,February,1,3.3,,,,
South Carolina,March,1,2.6,,,,
South Carolina,April,2,12.1,,,,
South Carolina,May,2,12.4,,,,
South Carolina,June,2,8.7,,,,
South Carolina,July,3,8.6,,,,
South Carolina,August,3,6.3,,,,
South Carolina,September,3,5.1,,,,
South Carolina,October,4,4.2,,,,
South Dakota,January,1,3.4,,,,
South Dakota,February,1,3.4,,,,
South Dakota,March,1,3.3,,,,
South Dakota,April,2,10.2,,,,
South Dakota,May,2,9.4,,,,
South Dakota,June,2,7.2,,,,
South Dakota,July,3,6.3,,,,
South Dakota,August,3,4.8,,,,
South Dakota,September,3,4.1,,,,
South Dakota,October,4,3.6,,,,
Tennessee,January,1,3.3,,,,
Tennessee,February,1,3.5,,,,
Tennessee,March,1,3.5,,,,
Tennessee,April,2,14.7,,,,
Tennessee,May,2,11,,,,
Tennessee,June,2,9.7,,,,
Tennessee,July,3,9.5,,,,
Tennessee,August,3,8.5,,,,
Tennessee,September,3,6.3,,,,
Tennessee,October,4,7.4,,,,
Texas,January,1,4.5,,,,
Texas,February,1,2.5,,,,
Texas,March,1,4.7,,,,
Texas,April,2,12.8,,,,
Texas,May,2,13,,,,
Texas,June,2,8.6,,,,
Texas,July,3,8,,,,
Texas,August,3,6.8,,,,
Texas,September,3,8.3,,,,
Texas,October,4,6.9,,,,
Utah,January,1,2.5,,,,
Utah,February,1,3.4,,,,
Utah,March,1,3.6,,,,
Utah,April,2,9.7,,,,
Utah,May,2,8.6,,,,
Utah,June,2,5.1,,,,
Utah,July,3,4.5,,,,
Utah,August,3,4.1,,,,
Utah,September,3,5,,,,
Utah,October,4,4.1,,,,
Vermont ,January,1,2.5,,,,
Vermont ,February,1,3.4,,,,
Vermont ,March,1,3.6,,,,
Vermont ,April,2,9.7,,,,
Vermont ,May,2,8.6,,,,
Vermont ,June,2,5.1,,,,
Vermont ,July,3,4.5,,,,
Vermont ,August,3,4.1,,,,
Vermont ,September,3,5,,,,
Vermont ,October,4,3.2,,,,
Virginia,January,1,2.7,,,,
Virginia,February,1,3.8,,,,
Virginia,March,1,3.3,,,,
Virginia,April,2,10.6,,,,
Virginia,May,2,9,,,,
Virginia,June,2,8.4,,,,
Virginia,July,3,8,,,,
Virginia,August,3,6.1,,,,
Virginia,September,3,6.2,,,,
Virginia,October,4,5.3,,,,
Washington,January,1,3.9,,,,
Washington,February,1,4.9,,,,
Washington,March,1,5.1,,,,
Washington,April,2,15.4,,,,
Washington,May,2,15.1,,,,
Washington,June,2,9.8,,,,
Washington,July,3,10.3,,,,
Washington,August,3,8.5,,,,
Washington,September,3,7.8,,,,
Washington,October,4,6,,,,
West Virginia,January,1,5,,,,
West Virginia,February,1,3.7,,,,
West Virginia,March,1,6.1,,,,
West Virginia,April,2,15.2,,,,
West Virginia,May,2,12.9,,,,
West Virginia,June,2,10.4,,,,
West Virginia,July,3,9.9,,,,
West Virginia,August,3,8.9,,,,
West Virginia,September,3,8.6,,,,
West Virginia,October,4,6.4,,,,
Wisconsin,January,1,3.5,,,,
Wisconsin,February,1,2.7,,,,
Wisconsin,March,1,3.4,,,,
Wisconsin,April,2,14.1,,,,
Wisconsin,May,2,12.1,,,,
Wisconsin,June,2,8.5,,,,
Wisconsin,July,3,7,,,,
Wisconsin,August,3,6.2,,,,
Wisconsin,September,3,5.4,,,,
Wisconsin,October,4,5.7,,,,
Wyoming,January,1,3.7,,,,
Wyoming,February,1,5.8,,,,
Wyoming,March,1,3.7,,,,
Wyoming,April,2,9.2,,,,
Wyoming,May,2,8.8,,,,
Wyoming,June,2,7.6,,,,
Wyoming,July,3,7.1,,,,
Wyoming,August,3,6.6,,,,
Wyoming,September,3,6.1,,,,
Wyoming,October,4,5.5,,,,
